Name; Browser; Renderer; GPU Process; cpuTime (%); cpuSampling (%); Sum dumpsys
100ms; 0.3; 5.6; 5.5; 11.07071526298088; 0.1666666666666706; 0.35.55.6
100ms; 0.3; 7; 7.1; 9.543689061524837; 0.2540834845734924; 0.37.17
100ms; 0.4; 7.4; 6.9; 11.398885741436288; 0.1666666666666647; 0.46.97.4
100ms; 0.3; 5.8; 5.7; 12.899171901522871; 0.5245410266017256; 0.35.75.8
100ms; 0.3; 6.5; 6.2; 14.755098894785654; 0.5680705190989364; 0.36.26.5
100ms; 0.2; 5.6; 5.4; 13.724379597519585; 0.39622641509435685; 0.25.45.6
100ms; 0.6; 8.3; 8; 15.225417705194841; 1.0201999591920075; 0.688.3
100ms; 0.5; 10; 7.9; 17.666930309701424; 1.8675721561969525; 0.57.910
100ms; 0.4; 6.2; 5.7; 16.464487719694766; 1.164323374340948; 0.45.76.2
100ms; 0.6; 7.1; 7.1; 15.647850210823819; 0.6158899609936273; 0.67.17.1
100ms; 0.4; 7.8; 7.7; 15.065374281539631; 0.6149573497321914; 0.47.77.8
100ms; 0.4; 6.6; 6.7; 14.038521585261494; 0.5820721769499415; 0.46.76.6
100ms; 0.3; 7.1; 7; 16.615152771789727; 1.5897549127842807; 0.377.1
100ms; 0.3; 8; 7.7; 13.823535221387251; 0.8007448789571704; 0.37.78
100ms; 0.4; 5.6; 5.1; 12.881678569973912; 0.5299015897047793; 0.45.15.6
100ms; 0.5; 11; 9.5; 14.705748496251406; 0.729506623152227; 0.59.511
100ms; 0.4; 5.2; 5.1; 14.490152461368607; 0.87803015842718; 0.45.15.2
100ms; 0.7; 9.2; 9.8; 14.215024476394255; 0.8568646543330043; 0.79.89.2
100ms; 0.7; 11; 8.8; 13.528969665447695; 0.738776283387011; 0.78.811
100ms; 0.6; 8.7; 8.9; 14.33933241600974; 0.8891411275066115; 0.68.98.7
100ms; 0.4; 8.6; 8.9; 14.736433265943777; 0.622406639004148; 0.48.98.6
100ms; 0.3; 6.6; 6.5; 14.939563607165706; 0.6349817202232066; 0.36.56.6
100ms; 0.4; 5.9; 6.1; 13.416052241583182; 0.39622641509434087; 0.46.15.9
100ms; 0.3; 5.7; 6.4; 11.868210311224455; 0.4166666666666606; 0.36.45.7
100ms; 0.4; 10; 8.6; 11.030277190536381; 0.2942799337870027; 0.48.610
100ms; 0.4; 6.4; 6.7; 12.78279466763962; 0.7347254447022451; 0.46.76.4
100ms; 0.5; 9.7; 9.7; 13.245702558397582; 0.6444906444906394; 0.59.79.7
100ms; 0.5; 10; 7.1; 13.34462454319207; 0.8381560566753106; 0.57.110
100ms; 0.4; 6.4; 6.6; 14.038686433834997; 0.5809450038729753; 0.46.66.4
100ms; 0.6; 7; 7.4; 12.418569567952034; 0.5923000987166847; 0.67.47
