User 19%, System 36%, IOW 0%, IRQ 0%
User 15 + Nice 0 + Sys 28 + Idle 33 + IOW 0 + IRQ 0 + SIRQ 0 = 76

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
27079 root      0 -20   0% S     1      0K      0K  fg kworker/6:1H
27081 root      0 -20   0% S     1      0K      0K  fg kworker/2:0H
27082 root     20   0   0% S     1      0K      0K  fg kworker/1:0
27089 root     20   0   0% S     1      0K      0K  fg kworker/3:0
27104 root     20   0   0% S     1      0K      0K  fg kworker/u16:6
27105 root      0 -20   0% S     1      0K      0K  fg kworker/6:0H
27106 root      0 -20   0% S     1      0K      0K  fg kworker/4:0H
27108 root      0 -20   0% S     1      0K      0K  fg kworker/7:0H
27207 root      0 -20   0% S     1      0K      0K  fg kbase_event
27255 root      0 -20   0% S     1      0K      0K  fg kbase_event
27308 root      0 -20   0% S     1      0K      0K  fg kworker/3:2H
27333 root      0 -20   0% S     1      0K      0K  fg kworker/0:3H
27334 root      0 -20   0% S     1      0K      0K  fg kworker/5:0H
27392 root     20   0   0% S     1      0K      0K  fg kworker/0:1
27427 root      0 -20   0% S     1      0K      0K  fg kworker/1:1H
27443 root     20   0   0% S     1      0K      0K  fg kworker/2:0
27523 root      0 -20   0% S     1      0K      0K  fg kworker/2:2H
27669 root      0 -20   0% S     1      0K      0K  fg kworker/4:2H
27672 root      0 -20   0% S     1      0K      0K  fg kworker/7:2H
27673 root      0 -20   0% S     1      0K      0K  fg kworker/u17:2
27674 root      0 -20   0% S     1      0K      0K  fg kworker/6:2H
27677 root      0 -20   0% S     1      0K      0K  fg kworker/3:0H
27679 system   20   0   0% S    12 1810140K  35828K  bg com.samsung.android.sm.provider
    1 root     20   0   0% S     1  22340K   1112K  fg /init
27701 root      0 -20   0% S     1      0K      0K  fg kworker/5:2H
27716 root      0 -20   0% S     1      0K      0K  fg kworker/5:3H
27741 root     20   0   0% S     1      0K      0K  fg kworker/1:2
27742 root     20   0   0% S     1      0K      0K  fg kworker/4:1
27743 root     20   0   0% S     1      0K      0K  fg kworker/7:2
27745 root      0 -20   0% S     1      0K      0K  fg kworker/6:3H
27790 u0_a137  16  -4   0% S    67 1875832K  66132K  bg com.amazon.mShop.android
