User 20%, System 18%, IOW 0%, IRQ 0%
User 15 + Nice 0 + Sys 13 + Idle 44 + IOW 0 + IRQ 0 + SIRQ 0 = 72

  PID USER     PR  NI CPU% S  #THR     VSS     RSS PCY Name
 4778 u0_a41   20   0   0% S     9 1797592K  23816K  fg com.sec.vsim.ericssonnsds.webapp
 4793 nfc      20   0   0% S    12 1812820K  34012K  fg com.android.nfc
 4807 u0_a9    20   0   0% S    12 1803464K  32520K  fg com.samsung.android.providers.context
 4821 system   20   0   0% S    13 1809108K  35784K  fg com.samsung.tmowfc.wfccontroller
 4834 u0_a0    20   0   0% S     9 1796248K  23408K  fg system
 4871 u0_a95   20   0   0% S    53 2544268K  98152K  bg com.google.android.googlequicksearchbox:search
 4908 u0_a87   20   0   0% S    46 3342208K 100500K  bg com.sec.android.app.launcher
 4949 u0_a172  20   0   0% S     9 1797548K  27060K  fg org.simalliance.openmobileapi.service:remote
 5076 u0_a121  16  -4   0% S    68 1993336K  51848K  bg flipboard.boxer.app
 5091 u0_a23   20   0   0% S    64 2131116K 109048K  fg com.google.android.gms
 5149 root      0 -20   0% S     1      0K      0K  fg kbase_event
 5297 u0_a7    20   0   0% S    16 2351360K  40036K  bg android.process.acore
 5442 u0_a40   20   0   0% S    16 1814088K  37692K  bg android.process.media
 5631 root     20   0   0% S     1      0K      0K  fg kworker/u16:1
 5794 system   20   0   0% S    31 2787588K  67500K  bg com.sec.android.inputmethod
 5930 root      0 -20   0% S     1      0K      0K  fg kworker/4:1H
 6350 root      0 -20   0% S     1      0K      0K  fg kworker/u17:3
 6679 root     20   0   0% D     1      0K      0K  fg dci_thread
 6889 u0_a7    20   0   0% S    15 2377300K  27540K  bg com.samsung.android.contacts
 6930 u0_a137  16  -4   0% S    64 1873024K  86452K  bg com.amazon.mShop.android
 6954 root      0 -20   0% S     1      0K      0K  fg kworker/5:1H
 6990 u0_a155  20   0   0% S    45 2468160K  56808K  fg com.samsung.android.oneconnect:Core
 7092 u0_a155  20   0   0% S    10 2408860K  26388K  fg com.samsung.android.oneconnect:Receiver
 7135 system   20   0   0% S     9 1800456K  24236K  fg com.samsung.ucs.agent.boot
 7378 root      0 -20   0% S     1      0K      0K  fg kworker/3:2H
 7549 u0_a37   20   0   0% S    10 1797764K  24832K  bg com.android.managedprovisioning
 7949 root      0 -20   0% S     1      0K      0K  fg kworker/2:0H
 8366 root     20   0   0% S     1      0K      0K  fg kworker/2:2
 8494 root     20   0   0% S     1      0K      0K  fg kworker/3:2
 8588 root      0 -20   0% S     1      0K      0K  fg kworker/u17:1
 8680 root      0 -20   0% S     1      0K      0K  fg kworker/1:0H
 8965 u0_a94   20   0   0% S    34 1921980K  67660K  bg com.whitepages.nameid.tmobile
 9142 root     20   0   0% S     1      0K      0K  fg kworker/u16:3
 9248 u0_a23   20   0   0% S    14 1807872K  35980K  bg com.google.process.gapps
 9264 system   20   0   0% S    11 1809292K  36832K  bg com.samsung.android.lool
 9453 root     20   0   0% S     1      0K      0K  fg kworker/0:2
 9548 u0_a153  20   0   0% S    51 2577784K 110588K  bg com.google.android.apps.maps
 9561 root      0 -20   0% S     1      0K      0K  fg kworker/7:0H
 9579 root      0 -20   0% S     1      0K      0K  fg kbase_event
 9612 root      0 -20   0% S     1      0K      0K  fg kworker/6:0H
 9621 root      0 -20   0% S     1      0K      0K  fg kworker/0:3H
 9695 bcmgr    20   0   0% S    13 1801636K  27520K  fg com.samsung.android.beaconmanager
 9938 root     20   0   0% S     1      0K      0K  fg kworker/1:2
10008 system   20   0   0% S    10 1799072K  36528K  bg com.mobeam.barcodeService
10260 root      0 -20   0% S     1      0K      0K  fg kworker/u17:0
10267 root     20   0   0% S     1      0K      0K  fg kworker/3:0
10325 root     20   0   0% S     1      0K      0K  fg kworker/2:0
10443 root     20   0   0% S     1      0K      0K  fg kworker/u16:0
10572 root     20   0   0% S     1      0K      0K  fg kworker/0:1
10695 root     20   0   0% S     1      0K      0K  fg kworker/1:0
10717 root      0 -20   0% S     1      0K      0K  fg kworker/3:0H
10751 root      0 -20   0% S     1      0K      0K  fg kworker/7:2H
10783 root      0 -20   0% S     1      0K      0K  fg kworker/4:0H
10784 root     20   0   0% S     1      0K      0K  fg kworker/u16:4
10785 root      0 -20   0% S     1      0K      0K  fg kworker/6:1H
10786 root      0 -20   0% S     1      0K      0K  fg kworker/5:2H
10787 root     20   0   0% S     1      0K      0K  fg kworker/u16:5
10799 root      0 -20   0% S     1      0K      0K  fg kworker/1:2H
10814 root      0 -20   0% S     1      0K      0K  fg kworker/2:1H
10825 root      0 -20   0% S     1      0K      0K  fg kworker/0:1H
10918 root      0 -20   0% S     1      0K      0K  fg kworker/0:2H
11030 root     20   0   0% S     1      0K      0K  fg kworker/u16:7
11066 root     20   0   0% S     1      0K      0K  fg kworker/1:1
11076 root      0 -20   0% S     1      0K      0K  fg kworker/3:1H
11215 root      0 -20   0% S     1      0K      0K  fg kworker/1:1H
11226 root      0 -20   0% S     1      0K      0K  fg kworker/2:2H
11240 root     20   0   0% S     1      0K      0K  fg kworker/0:0
11283 root     20   0   0% S     1      0K      0K  fg kworker/0:3
11291 root     20   0   0% S     1      0K      0K  fg kworker/3:1
11346 root      0 -20   0% S     1      0K      0K  fg kworker/6:2H
11373 root      0 -20   0% S     1      0K      0K  fg kworker/5:0H
11401 root      0 -20   0% S     1      0K      0K  fg kworker/7:1H
11724 u0_a55   20   0   0% S    16 1813152K  41312K  bg com.sec.spp.push
11934 u0_a55   20   0   0% S    11 1805392K  31956K  bg com.sec.spp.push:RemoteDlcProcess
